name_accession_number,name,host,host_phylum,viral_family,host_kingdom,name_accesion
NC_007055 ,Bacteriophage 37,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,NC_007055
NC_007056 ,Bacteriophage EW,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,NC_007056
NC_007057 ,Bacteriophage 96,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,NC_007057
NC_007058 ,Bacteriophage ROSA,Staphylococcus,Firmicutes,Unclassified DS,Bacteria,NC_007058
NC_007059 ,Bacteriophage 71,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,NC_007059
NC_007060 ,Bacteriophage 55,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,NC_007060
NC_007061 ,Bacteriophage 29,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,NC_007061
NC_007062 ,Bacteriophage 52A,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,NC_007062
NC_007063 ,Bacteriophage 88,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,NC_007063
NC_007064 ,Bacteriophage 92,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,NC_007064
NC_007065 ,Bacteriophage X2,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,NC_007065
NC_007066 ,Bacteriophage G1,Staphylococcus,Firmicutes,Myoviridae,Bacteria,NC_007066
NC_007145 ,Burkholderia pseudomallei phage phi52237,Burkholderia ,BetaProteo,Myoviridae,Bacteria,NC_007145
NC_007149 ,Vibriophage VP4,Vibrio,GammaProteo,Podoviridae,Bacteria,NC_007149
NC_007189 ,Phage phiSMA9,Stenotrophomonas,GammaProteo,Unclassified,Bacteria,NC_007189
NC_007217 ,Bacteriophage SH1,Haloarcula,Euryachaeota,Unclassified DS,Archaea,NC_007217
NC_007291 ,Bacteriophage JK06,Escherichia,GammaProteo,Siphoviridae,Bacteria,NC_007291
NC_007409 ,Acidianus two-tailed virus,Acidianus,Crenarchaeota,Bicaudaviridae,Archaea,NC_007409
NC_007456 ,Enterobacteria phage K1F,Escherichia,GammaProteo,Podoviridae,Bacteria,NC_007456
NC_007457 , Bacillus phage Cherry,Bacillus,Firmicutes,Siphoviridae,Bacteria,NC_007457
NC_007458 ,Gamma,Bacillus,Firmicutes,Siphoviridae,Bacteria,NC_007458
NC_007461 ,unclassified Chlamydiamicrovirus Chlamydia phage 4,Chlamydia,Chlamydiae,Microviridae,Bacteria,NC_007461
NC_007497 , Burkholderia phage Bcep176,Burkholderia,BetaProteo,Siphoviridae,Bacteria,NC_007497
NC_007501 , Lactobacillus phage Lc-Nu,Lactobacillus,Firmicutes,Siphoviridae,Bacteria,NC_007501
NC_007581 ,Clostridium phage c-st,Clostridium,Firmicutes,Myoviridae,Bacteria,NC_007581
NC_007603 ,unclassified T1-like viruses Enterobacteria phage RTP,Ecoli,GammaProteo,Siphoviridae,Bacteria,NC_007603
NC_007623 ,Pseudomonas phage EL,Pseudomonas,GammaProteo,Myoviridae,Bacteria,NC_007623
NC_007637 ,Autographivirinae Enterobacteria phage K1E,Enterobacteria,GammaProteo,Podoviridae,Bacteria,NC_007637
NC_007709 , Xanthomonas phage OP1,Xanthomonas,GammaProteo,Siphoviridae,Bacteria,NC_007709
NC_007710 ,Caudovirales Xanthomonas phage OP2,Xanthomonas,GammaProteo,Myoviridae,Bacteria,NC_007710
NC_007734 , Bacillus phage WBeta,Bacillus,Firmicutes,Siphoviridae,Bacteria,NC_007734
NC_007804 , Enterobacteria phage phiV10,Enterobacteria,GammaProteo,Podoviridae,Bacteria,NC_007804
NC_007805 , Pseudomonas phage F10,Pseudomonas,GammaProteo,Siphoviridae,Bacteria,NC_007805
NC_007806 , Pseudomonas phage 73,Pseudomonas,GammaProteo,Siphoviridae,Bacteria,NC_007806
NC_007807 , Pseudomonas phage 119X,Pseudomonas,GammaProteo,Podoviridae,Bacteria,NC_007807
NC_007808 ,Viruses Pseudomonas phage PA11 Viruses.,Pseudomonas,GammaProteo,Unclassified DS,Bacteria,NC_007808
NC_007809 , Pseudomonas phage M6,Pseudomonas,GammaProteo,Siphoviridae,Bacteria,NC_007809
NC_007810 ,Pseudomonas phage F8,Pseudomonas,GammaProteo,Myoviridae,Bacteria,NC_007810
NC_007814 , Bacillus phage Fah,Bacillus,Firmicutes,Siphoviridae,Bacteria,NC_007814
NC_007817 ,Enterobacteria phage G4 clade Enterobacteria phage ID2 Moscow/ID/2001,Escherichia,GammaProteo,Microviridae,Bacteria,NC_007817
NC_007821 , Enterobacteria phage WA13 sensu lato,Enterobacteria,GammaProteo,Microviridae,Bacteria,NC_007821
NC_007856 , Enterobacteria phage ID18 sensu lato,Enterobacteria,GammaProteo,Microviridae,Bacteria,NC_007856
NC_007902 ,Sodalis phage phiSG1 Viruses.,Sodalis,GammaProteo,Unclassified,Bacteria,NC_007902
NC_007914 ,His1 virus,Haloarcula,Euryachaeota,Unclassified,Archaea,NC_007914
NC_007917 ,Clostridium phage phi CD119,Clostridium,Firmicutes,Myoviridae,Bacteria,NC_007917
NC_007918 ,Salterprovirus His2 virus,Haloarcula,Euryachaeota,Unclassified,Archaea,NC_007918
NC_007924 , Lactobacillus phage KC5a,Lactobacillus,Firmicutes,Siphoviridae,Bacteria,NC_007924
NC_007967 , Streptomyces phage mu1/6,Streptomyces,Actinobacteria,Siphoviridae,Bacteria,NC_007967
NC_008152 ,Autographivirinae Enterobacteria phage K1-5,Enterobacteria,GammaProteo,Podoviridae,Bacteria,NC_008152
NC_008193 ,P2-like viruses Pasteurella phage F108,Pasteurella,GammaProteo,Myoviridae,Bacteria,NC_008193
NC_008194 ,244,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_008194
NC_008195 , Cooper,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_008195
NC_008196 , Llij,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_008196
NC_008197 , Orion,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_008197
NC_008198 , PBI1,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_008198
NC_008199 , Pipefish,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_008199
NC_008200 , PLot,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_008200
NC_008201 ,P2-like viruses Mannheimia phage phiMHaA1,Mannheimia,GammaProteo,Myoviridae,Bacteria,NC_008201
NC_008202 , Halo,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_008202
NC_008203 , Che12,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_008203
NC_008204 , Qyrzula,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_008204
NC_008205 , PMC,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_008205
NC_008206 , Wildcat,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_008206
NC_008207 ,Mycobacterium phage Catera,Mycobacterium,Actinobacteria,Myoviridae,Bacteria,NC_008207
NC_008265 ,Viruses Clostridium phage phiSM101 Viruses.,Clostridium,Firmicutes,Unclassified DS,Bacteria,NC_008265
NC_008294 ,unclassified Leviviridae Pseudomonas phage PRR1,Pseudomonas,GammaProteo,Leviviridae,Bacteria,NC_008294
NC_008296 ,Synechococcus phage syn9,Synechococcus,Cyanobacteria,Myoviridae,Bacteria,NC_008296
NC_008355 ,Chlamydia phage 3,Chlamydia,Chlamydiae,Microviridae,Bacteria,NC_008355
NC_008363 , Lactococcus phage P008,Lactococcus,Firmicutes,Siphoviridae,Bacteria,NC_008363
NC_008364 , Lactococcus phage Q54,Lactococcus,Firmicutes,Siphoviridae,Bacteria,NC_008364
NC_008367 , Phormidium phage Pf-WMP4,Phormidium,Cyanobacteria,Podoviridae,Bacteria,NC_008367
NC_008370 , Lactococcus phage 712,Lactococcus,Firmicutes,Siphoviridae,Bacteria,NC_008370
NC_008371 , Lactococcus phage jj50,Lactococcus,Firmicutes,Siphoviridae,Bacteria,NC_008371
NC_008376 ,Caudovirales Geobacillus phage GBSV1,Geobacillus,Firmicutes,Caudovirales,Bacteria,NC_008376
NC_008464 ,unclassified Lambda-like viruses Stx2-converting phage 86,Escherichia,GammaProteo,Siphoviridae,Bacteria,NC_008464
NC_008515 ,RB32,Ecoli,GammaProteo,Myoviridae,Bacteria,NC_008515
NC_008562 ,Microcystis phage Ma-LMM01,Microcystis,Cyanobacteria,Myoviridae,Bacteria,NC_008562
NC_008574 ,Inovirus Ralstonia phage RSM1,Ralstonia,BetaProteo,Inoviridae,Bacteria,NC_008574
NC_008575 ,Inovirus Ralstonia phage RSS1,Ralstonia,BetaProteo,Inoviridae,Bacteria,NC_008575
NC_008584 ,Thermus phage phiYS40,Thermus,Deynococcus-Thermus,Myoviridae,Bacteria,NC_008584
NC_008617 , Staphylococcus phage phiNM3,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,NC_008617
NC_008689 ,phiPVL108,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,NC_008689
NC_008694 ,T7-like viruses Yersinia phage Berlin,Yersinia,GammaProteo,Podoviridae,Bacteria,NC_008694
NC_008695 ,Archaeal BJ1 virus,Halorubrum,Euryachaeota,Siphoviridae,Archaea,NC_008695
NC_008717 ,unclassified Lambda-like viruses Pseudomonas phage DMS3,Pseudomonas,GammaProteo,Siphoviridae,Bacteria,NC_008717
NC_008720 ,N4-like viruses Enterobacteria phage N4,Escherichia,GammaProteo,Podoviridae,Bacteria,NC_008720
NC_008721 ,Caudovirales Streptococcus phage SMP,Streptococcus,Firmicutes,Siphoviridae,Bacteria,NC_008721
NC_008722 , Staphylococcus phage CNPH82,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,NC_008722
NC_008723 , Staphylococcus phage PH15,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,NC_008723
NC_008798 , Staphylococcus phage phiETA2,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,NC_008798
NC_008799 , Staphylococcus phage phiETA3,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,NC_008799
NC_009014 ,Autographivirinae Erwinia phage Era103,Erwinia,GammaProteo,Podoviridae,Bacteria,NC_009014
NC_009015 ,Burkholderia ambifaria phage BcepF1,Burkholderia,BetaProteo,Myoviridae,Bacteria,NC_009015
NC_009016 ,Vibrio phage VP882,Vibrio,GammaProteo,Myoviridae,Bacteria,NC_009016
NC_009018 , Streptococcus phage phi3396,Streptococcus,Firmicutes,Siphoviridae,Bacteria,NC_009018
NC_009231 ,Clostridium phage phiC2,Clostridium,Firmicutes,Myoviridae,Bacteria,NC_009231
NC_009232 , Salmonella phage SETP3,Salmonella,GammaProteo,Siphoviridae,Bacteria,NC_009232
NC_009234 ,P2-like viruses Burkholderia phage phiE202,Burkholderia,BetaProteo,Myoviridae,Bacteria,NC_009234
NC_009235 ,unclassified Lambda-like viruses Burkholderia phage phi644-2,Burkholderia,BetaProteo,Siphoviridae,Bacteria,NC_009235
NC_009236 ,P2-like viruses Burkholderia phage phiE12-2,Burkholderia,BetaProteo,Myoviridae,Bacteria,NC_009236
NC_009237 ,Burkholderia phage phiE255,Burkholderia,BetaProteo,Myoviridae,Bacteria,NC_009237
NC_009382 ,P2-like viruses Ralstonia phage phiRSA1,Ralstonia,BetaProteo,Myoviridae,Bacteria,NC_009382
NC_009447 , Burkholderia phage BcepGomr,Burkholderia,BetaProteo,Siphoviridae,Bacteria,NC_009447
NC_009452 ,Acidianus bottle-shaped virus,Acidianus,Crenarchaeota,Ampullavirus,Archaea,NC_009452
NC_009514 ,unclassified Lambda-like viruses Enterobacteria phage cdtI,Enterobacteria,GammaProteo,Siphoviridae,Bacteria,NC_009514
NC_009526 , Staphylococcus phage 80alpha,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,NC_009526
NC_009531 ,Synechococcus phage Syn5,Synechococcus,Cyanobacteria,Podoviridae,Bacteria,NC_009531
NC_009540 ,unclassified T1-like viruses Enterobacteria phage TLS,Enterobacteria,GammaProteo,Siphoviridae,Bacteria,NC_009540
NC_009541 , Propionibacterium phage PA6,Propionibacterium,Actinobacteria,Siphoviridae,Bacteria,NC_009541
NC_009542 ,P2-like viruses Aeromonas phage phiO18P,Aeromonas,GammaProteo,Myoviridae,Bacteria,NC_009542
NC_009543 , Xanthomonas phage Xop411,Xanthomonas,GammaProteo,Siphoviridae,Bacteria,NC_009543
NC_009551 , Phormidium phage Pf-WMP3,Phormidium,Cyanobacteria,Podoviridae,Bacteria,NC_009551
NC_009552 ,Viruses Geobacillus virus E2 Viruses.,Geobacillus,Firmicutes,Unclassified,Bacteria,NC_009552
NC_009554 , Lactobacillus phage LL-H,Lactobacillus,Firmicutes,Siphoviridae,Bacteria,NC_009554
NC_009603 , Microbacterium phage Min1,Microbacterium,Actinobacteria,Siphoviridae,Bacteria,NC_009603
NC_009604 ,Burkholderia phage BcepNY3,Burkholderia,BetaProteo,Myoviridae,Bacteria,NC_009604
NC_009643 ,unclassified Picovirinae Actinomyces phage Av-1,Actinomyces,Actinobacteria,Podoviridae,Bacteria,NC_009643
NC_009737 ,Caudovirales Bacillus virus 1,Bacillus,Firmicutes,Caudovirales,Bacteria,NC_009737
NC_009760 ,Bacillus phage 0305phi8-36,Bacillus,Firmicutes,Myoviridae,Bacteria,NC_009760
NC_009761 ,Viruses Staphylococcus phage tp310-1 Viruses.,Staphylococcus,Firmicutes,Unclassified,Bacteria,NC_009761
NC_009762 ,Viruses Staphylococcus phage tp310-2 Viruses.,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,NC_009762
NC_009763 ,Viruses Staphylococcus phage tp310-3 Viruses.,Staphylococcus,Firmicutes,Unclassified,Bacteria,NC_009763
NC_009799 , Corynebacterium phage BFK20,Corynebacterium,Actinobacteria,Siphoviridae,Bacteria,NC_009799
NC_009803 , Thermus phage P23-45,Thermus,Deynococcus-Thermus,Siphoviridae,Bacteria,NC_009803
NC_009804 , Thermus phage P74-26,Thermus,Deynococcus-Thermus,Siphoviridae,Bacteria,NC_009804
NC_009810 , Listeria phage A500,Listeria,Firmicutes,Siphoviridae,Bacteria,NC_009810
NC_009811 ,unclassified SPO1-like viruses Listeria phage A511,Listeria,Firmicutes,Myoviridae,Bacteria,NC_009811
NC_009812 , Listeria phage B025,Listeria,Firmicutes,Siphoviridae,Bacteria,NC_009812
NC_009813 , Listeria phage B054,Listeria,Firmicutes,Siphoviridae,Bacteria,NC_009813
NC_009814 , Listeria phage P35,Listeria,Firmicutes,Siphoviridae,Bacteria,NC_009814
NC_009815 , Listeria phage A006,Listeria,Firmicutes,Siphoviridae,Bacteria,NC_009815
NC_009816 , Corynebacterium phage P1201,Corynebacterium,Actinobacteria,Siphoviridae,Bacteria,NC_009816
NC_009817 , Lactococcus phage KSY1,Lactococcus,Firmicutes,Podoviridae,Bacteria,NC_009817
NC_009818 ,unclassified Lambda-like viruses Pseudomonas phage MP22,Pseudomonas,GammaProteo,Siphoviridae,Bacteria,NC_009818
NC_009819 , Streptococcus phage P9,Streptococcus,Firmicutes,Siphoviridae,Bacteria,NC_009819
NC_009820 , Tweety,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_009820
NC_009821 ,Phi1,Ecoli,GammaProteo,Myoviridae,Bacteria,NC_009821
NC_009875 ,44AHJD-like phages Staphylococcus phage SAP-2,Staphylococcus,Firmicutes,Podoviridae,Bacteria,NC_009875
NC_009877 , U2,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_009877
NC_009878 , Bethlehem,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_009878
NC_009884 ,Acidianus filamentous virus 2,Acidianus,Crenarchaeota,Lipothrixviridae,Archaea,NC_009884
NC_009904 ,Enterococcus phage,Enterococcus,Firmicutes,Myoviridae,Bacteria,NC_009904
NC_009935 ,Autographivirinae Pseudomonas phage LKD16,Pseudomonas,GammaProteo,Podoviridae,Bacteria,NC_009935
NC_009936 ,Autographivirinae Pseudomonas phage LKA1,Pseudomonas,GammaProteo,Podoviridae,Bacteria,NC_009936
NC_009965 ,Acidianus rod-shaped virus 1,Acidianus,Crenarchaeota,Rudivirdae,Archaea,NC_009965
NC_009986 ,Sulfolobus spindle-shaped virus 4,Sulfolobus,Crenarchaeota,Fuselloviridae,Archaea,NC_009986
NC_009987 ,Spiroplasma kunkelii virus SkV1_CR2-3x,Spiroplasma,Firmicutes,Inoviridae,Bacteria,NC_009987
NC_009990 , Thalassomonas phage BA3,Thalassomonas,GammaProteo,Podoviridae,Bacteria,NC_009990
NC_009993 , Giles,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_009993
NC_010105 ,JS98,Ecoli,GammaProteo,Myoviridae,Bacteria,NC_010105
NC_010106 ,Enterobacteria phage phiEcoM-GJ1,Escherichia,GammaProteo,Myoviridae,Bacteria,NC_010106
NC_010116 , Pseudomonas phage YuA,Pseudomonas,GammaProteo,Siphoviridae,Bacteria,NC_010116
NC_010147 , Staphylococcus phage phiMR11,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,NC_010147
NC_010152 ,Acidianus filamentous virus 6,Acidianus,Crenarchaeota,Lipothrixviridae,Archaea,NC_010152
NC_010153 ,Acidianus filamentous virus 7,Acidianus,Crenarchaeota,Lipothrixviridae,Archaea,NC_010153
NC_010154 ,Acidianus filamentous virus 8,Acidianus,Crenarchaeota,Lipothrixviridae,Archaea,NC_010154
NC_010155 ,Acidianus filamentous virus 3,Acidianus,Crenarchaeota,Lipothrixviridae,Archaea,NC_010155
NC_010179 ,Viruses Lactobacillus johnsonii prophage Lj771 Viruses.,Lactobacillus,Firmicutes,Unclassified,Bacteria,NC_010179
NC_010237 , Enterobacteria phage Min27,Enterobacteria,GammaProteo,Podoviridae,Bacteria,NC_010237
NC_010275 ,K139-like phages Vibrio phage kappa,Vibrio,GammaProteo,Myoviridae,Bacteria,NC_010275
NC_010324 , Enterobacteria phage phiEco32,Enterobacteria,GammaProteo,Podoviridae,Bacteria,NC_010324
NC_010325 , Pseudomonas phage LUZ24,Pseudomonas,GammaProteo,Podoviridae,Bacteria,NC_010325
NC_010326 ,Viruses Pseudomonas phage LUZ19 Viruses.,Pseudomonas,GammaProteo,Podoviridae,Bacteria,NC_010326
NC_010342 ,Halomonas phage phiHAP-1,Halomonas,GammaProteo,Myoviridae,Bacteria,NC_010342
NC_010353 , Streptococcus phage 858,Streptococcus,Firmicutes,Siphoviridae,Bacteria,NC_010353
NC_010355 , Azospirillum phage Cd,Azospirillum,,Siphoviridae,,NC_010355
NC_010363 , Lactococcus phage asccphi28,Lactococcus,Firmicutes,Podoviridae,Bacteria,NC_010363
NC_010391 ,Viruses Salmonella phage Fels-1 Viruses.,Salmonella,GammaProteo,Unclassified,Bacteria,NC_010391
NC_010392 ,Viruses Phage Gifsy-1 Viruses.,Salmonella,GammaProteo,Unclassified,Bacteria,NC_010392
NC_010393 ,Viruses Phage Gifsy-2 Viruses.,Salmonella,GammaProteo,Unclassified,Bacteria,NC_010393
NC_010463 ,P2-like viruses Enterobacteria phage Fels-2,Salmonella,GammaProteo,Myoviridae,Bacteria,NC_010463
NC_010495 , Salmonella phage Vi II-E1,Salmonella,GammaProteo,Siphoviridae,Bacteria,NC_010495
NC_010537 ,Acidianus filamentous virus 9,Acidianus,Crenarchaeota,Lipothrixviridae,Archaea,NC_010537
NC_010576 , Lactococcus phage 1706,Lactococcus,Firmicutes,Siphoviridae,Bacteria,NC_010576
NC_010583 , Enterobacteria phage EPS7,Enterobacteria,GammaProteo,Siphoviridae,Bacteria,NC_010583
NC_010762 , BPs,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_010762
NC_010763 , Adjutor,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_010763
NC_010807 ,T7-like viruses Salmonella phage phiSG-JL2,Salmonella,GammaProteo,Podoviridae,Bacteria,NC_010807
NC_010808 , Staphylococcus phage phiMR25,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,NC_010808
NC_010811 ,Ralstonia phage RSL1,Ralstonia,BetaProteo,Myoviridae,Bacteria,NC_010811
NC_010821 ,Pseudomonas phage 201phi2-1,Pseudomonas,GammaProteo,Myoviridae,Bacteria,NC_010821
NC_010945 , Streptococcus phage PH15,Streptococcus,Firmicutes,Siphoviridae,Bacteria,NC_010945
NC_011019 , KBG,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_011019
NC_011020 , Jasper,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_011020
NC_011021 , Lockley,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_011021
NC_011022 , DD5,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_011022
NC_011023 , Pukovnik,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_011023
NC_011038 ,T7-like viruses Yersinia phage Yepe2,Yersinia,GammaProteo,Podoviridae,Bacteria,NC_011038
NC_011039 , Predator,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_011039
NC_011040 ,T7-like viruses Enterobacteria phage BA14,Enterobacteria,GammaProteo,Podoviridae,Bacteria,NC_011040
NC_011041 ,Escherichia phage rv5,Escherichia,GammaProteo,Myoviridae,Bacteria,NC_011041
NC_011042 ,T7-like viruses Enterobacteria phage EcoDS1,Enterobacteria,GammaProteo,Podoviridae,Bacteria,NC_011042
NC_011043 ,T7-like viruses Klebsiella phage K11,Klebsiella,GammaProteo,Podoviridae,Bacteria,NC_011043
NC_011044 , Nigel,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_011044
NC_011045 ,T7-like viruses Enterobacteria phage 13a,Enterobacteria,GammaProteo,Podoviridae,Bacteria,NC_011045
NC_011046 , Lactococcus phage bIBB29,Lactococcus,Firmicutes,Siphoviridae,Bacteria,NC_011046
NC_011048 ,phi29,Bacillus,Firmicutes,Podoviridae,Bacteria,NC_011048
NC_011054 , Boomer,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_011054
NC_011055 , Porky,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_011055
NC_011056 , Kostya,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_011056
NC_011057 , Phaedrus,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_011057
NC_011085 ,T7-like viruses Morganella phage MmP1,Morganella,GammaProteo,Podoviridae,Bacteria,NC_011085
NC_011103 , Rhizobium phage 16-3,Rhizobium,AlfaProteo,Siphoviridae,Bacteria,NC_011103
NC_011104 , Lactobacillus phage Lrm1,Lactobacillus,Firmicutes,Siphoviridae,Bacteria,NC_011104
NC_011105 ,Autographivirinae Pseudomonas phage PT5,Pseudomonas,GammaProteo,Podoviridae,Bacteria,NC_011105
NC_011107 ,Autographivirinae Pseudomonas phage PT2,Pseudomonas,GammaProteo,Podoviridae,Bacteria,NC_011107
NC_011132 ,Sputnik virophage,,,Virophages,,NC_011132
NC_011142 ,Iodobacteriophage phiPLPE,Iodobacterium,BetaProteo,Myoviridae,Bacteria,NC_011142
NC_011165 ,Pseudomonas phage LBL3,Pseudomonas,GammaProteo,Myoviridae,Bacteria,NC_011165
NC_011166 ,Pseudomonas phage LMA2,Pseudomonas,GammaProteo,Myoviridae,Bacteria,NC_011166
NC_011167 , Bacillus phage IEBH,Bacillus,Firmicutes,Siphoviridae,Bacteria,NC_011167
NC_011201 ,T7-like viruses Ralstonia phage RSB1,Ralstonia,BetaProteo,Podoviridae,Bacteria,NC_011201
NC_011216 ,Burkholderia phage KS10,Burkholderia,BetaProteo,Myoviridae,Bacteria,NC_011216
NC_011217 ,Sulfolobus spindle-shaped virus 5,Sulfolobus,Crenarchaeota,Fuselloviridae,Archaea,NC_011217
NC_011222 , Bacteroides phage B40-8,Bacteroides,Bacteroidetes,Siphoviridae,Bacteria,NC_011222
NC_011267 , Solon,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_011267
NC_011269 ,Mycobacterium phage ScottMcG,Mycobacterium,Actinobacteria,Myoviridae,Bacteria,NC_011269
NC_011270 ,Mycobacterium phage Spud,Mycobacterium,Actinobacteria,Myoviridae,Bacteria,NC_011270
NC_011271 ,Mycobacterium phage Cali,Mycobacterium,Actinobacteria,Myoviridae,Bacteria,NC_011271
NC_011272 ,Mycobacterium phage Rizal,Mycobacterium,Actinobacteria,Myoviridae,Bacteria,NC_011272
NC_011273 ,Mycobacterium phage Myrna,Mycobacterium,Actinobacteria,Myoviridae,Bacteria,NC_011273
NC_011284 , Chah,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_011284
NC_011285 , Troll4,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_011285
NC_011286 , Butterscotch,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_011286
NC_011287 , Pacc40,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_011287
NC_011288 , Fruitloop,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_011288
NC_011289 , Ramsey,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_011289
NC_011290 , Gumball,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_011290
NC_011291 , Brujita,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_011291
NC_011292 , Konstantine,Mycobacterium,Actinobacteria,Siphoviridae,Bacteria,NC_011292
NC_011308 , Listeria phage P40,Listeria,Firmicutes,Siphoviridae,Bacteria,NC_011308
NC_011318 ,Viruses Clostridium phage 39-O Viruses.,Clostridium,Firmicutes,Siphoviridae,Bacteria,NC_011318
NC_011344 ,Viruses Staphylococcus phage phi2958PVL Viruses.,Staphylococcus,Firmicutes,Unclassified,Bacteria,NC_011344
NC_011356 ,Viruses Enterobacteria phage YYZ-2008 Viruses.,Enterobacteria,GammaProteo,Unclassified,Bacteria,NC_011356
NC_011357 ,unclassified Lambda-like viruses Stx2-converting phage 1717,Escherichia,GammaProteo,Siphoviridae,Bacteria,NC_011357
NC_011373 , Pseudomonas phage PAJU2,Pseudomonas,GammaProteo,Siphoviridae,Bacteria,NC_011373
NC_011398 ,Clostridium phage phiCD27,Clostridium,Firmicutes,Myoviridae,Bacteria,NC_011398
NC_011399 ,Inovirus Ralstonia phage RSM3,Ralstonia,BetaProteo,Inoviridae,Bacteria,NC_011399
NC_011421 ,SPO1-like viruses Bacillus phage SPO1,Bacillus,Firmicutes,Myoviridae,Bacteria,NC_011421
NC_011523 ,unclassified Tectivirus Bacillus phage AP50,Bacillus,Firmicutes,Tectiviridae,Bacteria,NC_011523
NC_011534 ,T7-like viruses Kluyvera phage Kvp1,Kluyvera,GammaProteo,Podoviridae,Bacteria,NC_011534
NC_011551 , Bacteriophage APSE-2,Hamiltonella,GammaProteo,Podoviridae,Bacteria,NC_011551
NC_011589 , Stenotrophomonas phage S1,Stenotrophomonas,GammaProteo,Siphoviridae,Bacteria,NC_011589
NC_011611 ,unclassified Lambda-like viruses Pseudomonas phage MP38,Pseudomonas,GammaProteo,Siphoviridae,Bacteria,NC_011611
NC_011612 , Staphylococcus phage phiSauS-IPLA35,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,NC_011612
NC_011613 ,unclassified Lambda-like viruses Pseudomonas phage MP29,Pseudomonas,GammaProteo,Siphoviridae,Bacteria,NC_011613
NC_011614 , Staphylococcus phage phiSauS-IPLA88,Staphylococcus,Firmicutes,Siphoviridae,Bacteria,NC_011614
NC_011645 , Bacillus phage TP21-L,Bacillus,Firmicutes,Siphoviridae,Bacteria,NC_011645
NC_011703 ,Pseudomonas phage 14-1,Pseudomonas,GammaProteo,Myoviridae,Bacteria,NC_011703
NC_011756 ,Pseudomonas phage SN,Pseudomonas,GammaProteo,Myoviridae,Bacteria,NC_011756
